"","spp","CommonName","Source","Country","Site","lat","lon","stockid","CollectionYear","MarkerName","n","bp","He","Hese","Pi","Pise","file","maxlength","fecundity","fecundity_mean","fertilization","reproductionmode","class","order","family","genus","species","maturityage","adultlifespan","generationtime"
"142","Sebastes flavidus","Yellowtail rockfish","Hess et al. 2011 Canadian Journal of Fisheries and Aquatic Sciences 68:89-104","United States","Neah Bay, WA ","48.50554","-125.79765",NA,"1999","cytb","73","812","0.666","0.005383893","0.0012","0.000105337","mtdna101","66","c(1146000, 1993000)","1569500","internal (oviduct)","dioecism","Actinopteri","Perciformes","Sebastidae","Sebastes","flavidus","11.0799646877584","53.2667254968619","307624105391.385"
"143","Sebastes flavidus","Yellowtail rockfish","Hess et al. 2011 Canadian Journal of Fisheries and Aquatic Sciences 68:89-104","United States","Port Orford, OR","42.72806","-124.67289",NA,"1999","cytb","98","812","0.52","0.005252793","9e-04","7.07e-05","mtdna101","66","c(1146000, 1993000)","1569500","internal (oviduct)","dioecism","Actinopteri","Perciformes","Sebastidae","Sebastes","flavidus","11.0799646877584","53.2667254968619","307624105391.385"
"144","Sebastes flavidus","Yellowtail rockfish","Hess et al. 2011 Canadian Journal of Fisheries and Aquatic Sciences 68:89-104","United States","San Francisco, CA 1","38.075","-123.45167",NA,"1999","cytb","96","812","0.388","0.006531973","6e-04","6.12e-05","mtdna101","66","c(1146000, 1993000)","1569500","internal (oviduct)","dioecism","Actinopteri","Perciformes","Sebastidae","Sebastes","flavidus","11.0799646877584","53.2667254968619","307624105391.385"
"145","Sebastes flavidus","Yellowtail rockfish","Hess et al. 2011 Canadian Journal of Fisheries and Aquatic Sciences 68:89-104","United States","San Francisco, CA 2","37.87756","-123.04324",NA,"1999","cytb","67","812","0.429","0.008674031","7e-04","7.33e-05","mtdna101","66","c(1146000, 1993000)","1569500","internal (oviduct)","dioecism","Actinopteri","Perciformes","Sebastidae","Sebastes","flavidus","11.0799646877584","53.2667254968619","307624105391.385"
"146","Sebastes flavidus","Yellowtail rockfish","Hess et al. 2011 Canadian Journal of Fisheries and Aquatic Sciences 68:89-104","United States","San Luis Obispo, CA","35.15105","-120.82881",NA,"1999","cytb","53","812","0.413","0.010714124","5e-04","6.87e-05","mtdna101","66","c(1146000, 1993000)","1569500","internal (oviduct)","dioecism","Actinopteri","Perciformes","Sebastidae","Sebastes","flavidus","11.0799646877584","53.2667254968619","307624105391.385"
"147","Sebastes flavidus","Yellowtail rockfish","Hess et al. 2011 Canadian Journal of Fisheries and Aquatic Sciences 68:89-104","United States","San Miguel Is., CA ","34.09976","-120.54119",NA,"1999","cytb","7","812","0.286","0.074081037","3e-04","0.000188982","mtdna101","66","c(1146000, 1993000)","1569500","internal (oviduct)","dioecism","Actinopteri","Perciformes","Sebastidae","Sebastes","flavidus","11.0799646877584","53.2667254968619","307624105391.385"
"148","Sebastes flavidus","Yellowtail rockfish","Hess et al. 2011 Canadian Journal of Fisheries and Aquatic Sciences 68:89-104","United States","Santa Barbara, CA","34.34948","-119.60536",NA,"1999","cytb","10","812","0.378","0.057237226","5e-04","0.000158114","mtdna101","66","c(1146000, 1993000)","1569500","internal (oviduct)","dioecism","Actinopteri","Perciformes","Sebastidae","Sebastes","flavidus","11.0799646877584","53.2667254968619","307624105391.385"
"149","Sebastes flavidus","Yellowtail rockfish","Hess et al. 2011 Canadian Journal of Fisheries and Aquatic Sciences 68:89-104","United States","Santa Cruz, CA","36.81341","-122.12877",NA,"1999","cytb","40","812","0.54","0.014546477","8e-04","0.00011068","mtdna101","66","c(1146000, 1993000)","1569500","internal (oviduct)","dioecism","Actinopteri","Perciformes","Sebastidae","Sebastes","flavidus","11.0799646877584","53.2667254968619","307624105391.385"
"150","Sebastes helvomaculatus","Rosethorn rockfish","Rocha-Olivares Vetter 1999","USA","California","38.384647","-123.751836",NA,"1995","control region","25","597","0.88","0.0128","0.0099","0.00112","mtdna101","41",NA,"NaN","internal (oviduct)","dioecism","Actinopteri","Perciformes","Sebastidae","Sebastes","helvomaculatus","9.71010414236387","45.1627318573588","12137327016.9519"
"151","Sebastes helvomaculatus","Rosethorn rockfish","Rocha-Olivares Vetter 1999","USA","Oregon","46.227506","-124.230677",NA,"1995","control region","24","597","0.957","0.0051","0.0114","0.00129","mtdna101","41",NA,"NaN","internal (oviduct)","dioecism","Actinopteri","Perciformes","Sebastidae","Sebastes","helvomaculatus","9.71010414236387","45.1627318573588","12137327016.9519"
"152","Sebastes helvomaculatus","Rosethorn rockfish","Rocha-Olivares Vetter 1999","USA","Vancouver Island, British Columbia","49.639","-125.083333333333",NA,"1995","control region","9","597","0.917","0.0307","0.0097","0.00197","mtdna101","41",NA,"NaN","internal (oviduct)","dioecism","Actinopteri","Perciformes","Sebastidae","Sebastes","helvomaculatus","9.71010414236387","45.1627318573588","12137327016.9519"
"153","Sebastes miniatus","Vermilion rockfish","Hyde & Vetter 2009 Canadian Journal of Fisheries and Aquatic Sciences 66:1569-1581","United States","Bandon, Oregon","43.1175","-124.4349",NA,"","cytb","32","782","0.869","NA","0.002","NA","mtdna101","91","c(2600000, 5601000)","4100500","internal (oviduct)","dioecism","Actinopteri","Perciformes","Sebastidae","Sebastes","miniatus","9.71010414236387","45.1627318573588","12137327016.9519"
"154","Sebastes miniatus","Vermilion rockfish","Hyde & Vetter 2009 Canadian Journal of Fisheries and Aquatic Sciences 66:1569-1581","United States","Bodega Bay, California ","38.2304","-123.0144",NA,"","cytb","12","782","0.785","NA","0.001","NA","mtdna101","91","c(2600000, 5601000)","4100500","internal (oviduct)","dioecism","Actinopteri","Perciformes","Sebastidae","Sebastes","miniatus","9.71010414236387","45.1627318573588","12137327016.9519"
"155","Sebastes miniatus","Vermilion rockfish","Hyde & Vetter 2009 Canadian Journal of Fisheries and Aquatic Sciences 66:1569-1581","United States","Brookings, Oregon","42.05111","-124.3068",NA,"","cytb","46","782","0.776","NA","0.002","NA","mtdna101","91","c(2600000, 5601000)","4100500","internal (oviduct)","dioecism","Actinopteri","Perciformes","Sebastidae","Sebastes","miniatus","9.71010414236387","45.1627318573588","12137327016.9519"
"156","Sebastes miniatus","Vermilion rockfish","Hyde & Vetter 2009 Canadian Journal of Fisheries and Aquatic Sciences 66:1569-1581","United States","Cape Blanco, Oregon","42.8385","-124.5666",NA,"","cytb","50","782","0.853","NA","0.002","NA","mtdna101","91","c(2600000, 5601000)","4100500","internal (oviduct)","dioecism","Actinopteri","Perciformes","Sebastidae","Sebastes","miniatus","9.71010414236387","45.1627318573588","12137327016.9519"
"157","Sebastes miniatus","Vermilion rockfish","Hyde & Vetter 2009 Canadian Journal of Fisheries and Aquatic Sciences 66:1569-1581","United States","Depoe Bay, Oregon","44.8107","-124.0679",NA,"","cytb","56","782","0.844","NA","0.002","NA","mtdna101","91","c(2600000, 5601000)","4100500","internal (oviduct)","dioecism","Actinopteri","Perciformes","Sebastidae","Sebastes","miniatus","9.71010414236387","45.1627318573588","12137327016.9519"
"158","Sebastes miniatus","Vermilion rockfish","Hyde & Vetter 2009 Canadian Journal of Fisheries and Aquatic Sciences 66:1569-1581","United States","Half Moon Bay, California","37.4632","-122.46",NA,"","cytb","45","782","0.832","NA","0.002","NA","mtdna101","91","c(2600000, 5601000)","4100500","internal (oviduct)","dioecism","Actinopteri","Perciformes","Sebastidae","Sebastes","miniatus","9.71010414236387","45.1627318573588","12137327016.9519"
"159","Sebastes miniatus","Vermilion rockfish","Hyde & Vetter 2009 Canadian Journal of Fisheries and Aquatic Sciences 66:1569-1581","United States","Neah Bay, Washington ","48.424","-124.6904",NA,"","cytb","17","782","0.757","NA","0.001","NA","mtdna101","91","c(2600000, 5601000)","4100500","internal (oviduct)","dioecism","Actinopteri","Perciformes","Sebastidae","Sebastes","miniatus","9.71010414236387","45.1627318573588","12137327016.9519"
"160","Sebastes miniatus","Vermilion rockfish","Hyde & Vetter 2009 Canadian Journal of Fisheries and Aquatic Sciences 66:1569-1581","United States","Palos Verdes, California ","33.7338","-118.3893",NA,"","cytb","46","782","0.452","NA","0.001","NA","mtdna101","91","c(2600000, 5601000)","4100500","internal (oviduct)","dioecism","Actinopteri","Perciformes","Sebastidae","Sebastes","miniatus","9.71010414236387","45.1627318573588","12137327016.9519"
"161","Sebastes miniatus","Vermilion rockfish","Hyde & Vetter 2009 Canadian Journal of Fisheries and Aquatic Sciences 66:1569-1581","United States","Piedras Blancas, California","35.6712","-121.2893",NA,"","cytb","39","782","0.635","NA","0.001","NA","mtdna101","91","c(2600000, 5601000)","4100500","internal (oviduct)","dioecism","Actinopteri","Perciformes","Sebastidae","Sebastes","miniatus","9.71010414236387","45.1627318573588","12137327016.9519"
"162","Sebastes miniatus","Vermilion rockfish","Hyde & Vetter 2009 Canadian Journal of Fisheries and Aquatic Sciences 66:1569-1581","United States","San Diego, California ","32.727","-117.2771",NA,"","cytb","54","782","0.499","NA","0.001","NA","mtdna101","91","c(2600000, 5601000)","4100500","internal (oviduct)","dioecism","Actinopteri","Perciformes","Sebastidae","Sebastes","miniatus","9.71010414236387","45.1627318573588","12137327016.9519"
"163","Sebastes miniatus","Vermilion rockfish","Hyde & Vetter 2009 Canadian Journal of Fisheries and Aquatic Sciences 66:1569-1581","United States","San Miguel Island, California","34.0547","-120.35",NA,"","cytb","30","782","0.489","NA","0.001","NA","mtdna101","91","c(2600000, 5601000)","4100500","internal (oviduct)","dioecism","Actinopteri","Perciformes","Sebastidae","Sebastes","miniatus","9.71010414236387","45.1627318573588","12137327016.9519"
"164","Sebastes miniatus","Vermilion rockfish","Hyde & Vetter 2009 Canadian Journal of Fisheries and Aquatic Sciences 66:1569-1581","United States","Santa Barbara, California","34.3963","-119.6937",NA,"","cytb","95","782","0.39","NA","0.001","NA","mtdna101","91","c(2600000, 5601000)","4100500","internal (oviduct)","dioecism","Actinopteri","Perciformes","Sebastidae","Sebastes","miniatus","9.71010414236387","45.1627318573588","12137327016.9519"
"165","Sebastes miniatus","Vermilion rockfish","Hyde & Vetter 2009 Canadian Journal of Fisheries and Aquatic Sciences 66:1569-1581","United States","Shelter Cove, Oregon","40.0305","-124.0828",NA,"","cytb","63","782","0.879","NA","0.002","NA","mtdna101","91","c(2600000, 5601000)","4100500","internal (oviduct)","dioecism","Actinopteri","Perciformes","Sebastidae","Sebastes","miniatus","9.71010414236387","45.1627318573588","12137327016.9519"
"166","Syngnathus leptorhynchus","Bay pipefish","Wilson 2006","USA","Newport","44.645","-124.268105",NA,"2003","control region","20","465","0.7263","0.0205","0.003","0.000492","mtdna101","32.5",NA,"NaN","in brood pouch or similar structure","dioecism","Actinopteri","Syngnathiformes","Syngnathidae","Syngnathus","leptorhynchus","1.06319764070016","4.1148420216299","27.2779608422944"
"167","Syngnathus leptorhynchus","Bay pipefish","Wilson 2006","USA","Padilla Bay","48.557","-122.547414",NA,"2003","control region","20","465","0.5211","0.0301","0.0014","0.000291","mtdna101","32.5",NA,"NaN","in brood pouch or similar structure","dioecism","Actinopteri","Syngnathiformes","Syngnathidae","Syngnathus","leptorhynchus","1.06319764070016","4.1148420216299","27.2779608422944"
"168","Syngnathus leptorhynchus","Bay pipefish","Wilson 2006","USA","San Diego","32.639","-117.666497",NA,"2003","control region","20","465","0.5789","0.0278","0.0056","0.000783","mtdna101","32.5",NA,"NaN","in brood pouch or similar structure","dioecism","Actinopteri","Syngnathiformes","Syngnathidae","Syngnathus","leptorhynchus","1.06319764070016","4.1148420216299","27.2779608422944"
"169","Xiphias gladius","Swordfish","Bremer, Mejuto et al. 1999","USA","Georges Banks, NW Atlantic","42.056454","-68.31162","SWORDNATL","","control region","45","330","NA","NA","0.024745","NA","mtdna101","455","c(""1000000"", ""2000000"")","1500000","external","dioecism","Actinopteri","Istiophoriformes","Xiphiidae","Xiphias","gladius","4.25424355792305","15.0476058940838","63997.6530520452"
