"","spp","fbsci","maxlength","mortalitywild","fecundity","numberofspawningcycles","spawningground","reproductiveseasonlength","maturitylength","maturityage","parentalcare","reproductionmode","batchspawner"
"144","Merluccius albidus","Merluccius albidus","40.6","NA","340000",NA,"c(NA, NA, NA, NA)","NA","c(NA, NA)","c(NA, NA)","NA","dioecism","0"
"145","Merluccius bilinearis","Merluccius bilinearis","76","12","7e+05","one clear seasonal peak per year","c(""shelf"", NA, NA, NA)","NA","c(NA, NA, NA, NA, NA)","c(3, NA, NA, NA, NA)","3","dioecism","-1"
"146","Merluccius capensis","Merluccius capensis","140","NA","NA",NA,"c(NA, NA)","NA","c(NA, NA, NA, NA)","c(NA, NA, NA, NA)","3","dioecism","0"
"147","Merluccius paradoxus","Merluccius paradoxus","115","NA","NA",NA,NA,"NA","c(NA, NA, NA, NA)","c(NA, NA, NA, NA)","NA",NA,"NA"
"148","Micropogonias furnieri","Micropogonias furnieri","60","7","c(NA, NA)",NA,"c(NA, NA, ""estuarine"", ""coastal"", ""coastal"", ""coastal"", ""coastal"", ""coastal"", ""coastal"")","NA","c(NA, NA, NA, NA, NA, NA, 20, NA, 23.5)","c(NA, NA, NA, 3, NA, NA, 2, NA, NA)","3","dioecism","0"
"149","Micropogonias undulatus","Micropogonias undulatus","55","5","NA",NA,"c(NA, NA, NA)","NA","c(27.5, 18, 17, 14)","c(NA, NA, NA, NA)","NA",NA,"NA"
"150","Microstomus pacificus","Microstomus pacificus","76","56","c(NA, NA, NA, NA)","one clear seasonal peak per year","c(NA, ""coastal"")","NA","c(38, 36, 33.2, NA, NA, NA)","c(NA, 5.5, 9, 5, 4, NA)","1","dioecism","-1"
"151","Miichthys miiuy","Miichthys miiuy","70","NA","NA",NA,NA,"NA","NA","NA","NA","dioecism","0"
"152","Mulloidichthys flavolineatus","Mulloidichthys flavolineatus","43","NA","NA",NA,"c(NA, ""coastal"", ""coastal"")","NA","c(12.3, 11.2, NA, 15, 14)","c(NA, NA, NA, NA, NA)","NA","dioecism","0"
"153","Mustelus asterias","Mustelus asterias","140","NA","7",NA,NA,"NA","c(85, 78, NA, NA)","c(NA, NA, 2, 2.3)","NA","dioecism","0"
"154","Mustelus mustelus","Mustelus mustelus","200","24","4",NA,NA,"NA","c(80, 70, NA, NA)","c(NA, NA, 12, 6)","NA","dioecism","0"
"155","Mustelus punctulatus","Mustelus punctulatus","190","NA","NA",NA,NA,"NA","c(60, 50, 90, NA)","c(NA, NA, 1.3, 1.3)","NA","dioecism","0"
"156","Myripristis berndti","Myripristis berndti","30","NA","NA",NA,NA,"NA","NA","NA","3","dioecism","0"
"157","Myripristis jacobus","Myripristis jacobus","25","NA","NA",NA,NA,"NA","NA","NA","3","dioecism","0"
"158","Naso unicornis","Naso unicornis","70","NA","NA",NA,NA,"NA","NA","NA","3","dioecism","0"
"159","Nuchequula mannusella","Nuchequula mannusella","10.1","NA","NA",NA,NA,"NA","NA","NA","NA",NA,"NA"
"160","Odonus niger","Odonus niger","50","NA","NA",NA,NA,"NA","NA","NA","1","dioecism","0"
"161","Okamejei kenojei","Okamejei kenojei","57","NA","40","throughout the year, but peaking once",NA,"NA","39","NA","3","dioecism","-1"
"162","Ophiodon elongatus","Ophiodon elongatus","152","25","60000",NA,"c(NA, NA)","NA","c(70, 46, NA, 61, NA)","c(NA, NA, NA, 3, NA)","NA","dioecism","0"
"163","Opistognathus aurifrons","Opistognathus aurifrons","10","NA","NA",NA,NA,"NA","NA","NA","1","dioecism","0"
"164","Oplegnathus fasciatus","Oplegnathus fasciatus","80","NA","NA",NA,NA,"NA","NA","NA","NA",NA,"NA"
"165","Pagellus erythrinus","Pagellus erythrinus","60","NA","c(NA, NA, NA)","two seasonal peaks per year","c(NA, NA, NA, NA, NA, NA, NA, NA, ""coastal"")","NA","c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 15, NA, 13, NA, NA, 13, 12, NA, NA, NA)","c(NA, NA, NA, NA, 1, NA, NA, NA, NA, NA, NA, NA, 2.5, NA, NA, NA, NA, NA, NA, NA)","3","protogyny","0"
"166","Pagrus major","Pagrus major","100","NA","NA",NA,NA,"NA","c(54, NA, NA)","c(NA, NA, NA)","NA","dioecism","0"
"167","Pagrus pagrus","Pagrus pagrus","91","NA","48660",NA,"c(NA, NA, NA, NA, ""coastal"")","NA","c(NA, NA, NA, NA, 21.3, 18.8, 30.4, NA)","c(NA, NA, NA, NA, NA, 0.9, 2.5, NA)","3","protogyny","0"
"168","Pampus argenteus","Pampus argenteus","60","7","c(44650, NA, NA, NA, NA)",NA,"c(NA, NA, ""coastal"", ""coastal"")","NA","c(18, NA, NA)","c(NA, NA, NA)","1","dioecism","0"
"169","Pampus chinensis","Pampus chinensis","40","NA","NA",NA,NA,"NA","NA","NA","1","dioecism","0"
"170","Pampus minor","Pampus minor","13.44","NA","NA",NA,NA,"NA","NA","NA","1","dioecism","0"
"171","Paralichthys californicus","Paralichthys californicus","152","30","5e+05",NA,NA,"NA","NA","NA","3","dioecism","0"
"172","Paralichthys olivaceus","Paralichthys olivaceus","103","NA","1e+07",NA,"c(""coastal"", ""coastal"")","NA","c(40, 30)","c(3, 3)","3","dioecism","0"
"173","Parupeneus multifasciatus","Parupeneus multifasciatus","35","NA","7929",NA,"coastal","NA","c(18, 13.5, NA, 10)","c(NA, NA, NA, NA)","NA","dioecism","-1"
"174","Pennahia argentata","Pennahia argentata","40","NA","NA","one clear seasonal peak per year","c(NA, ""coastal"")","NA","c(17, 13.9)","c(NA, NA)","NA","dioecism","0"
"175","Pholis fangi","Pholis fangi","16.8","NA","NA",NA,NA,"NA","NA","NA","NA",NA,"NA"
"176","Plectropomus leopardus","Plectropomus leopardus","120","26","457900","one clear seasonal peak per year","c(""coastal"", ""coastal"", ""shelf"", ""shelf"")","NA","c(NA, 21, 30, 21, NA, NA, 36, 42)","c(NA, 2, 3, NA, 2, 3, NA, NA)","3","protogyny","-1"
"177","Plectropomus maculatus","Plectropomus maculatus","125","NA","NA",NA,"c(""coastal"", ""coastal"")","NA","c(NA, NA, 54)","c(2, 3, NA)","3","protogyny","0"
"178","Pleuragramma antarctica","Pleuragramma antarctica","25","20","c(NA, 7500)",NA,"c(NA, ""shelf"", NA)","NA","c(12.5, 13)","c(NA, 3)","NA","dioecism","0"
"179","Polyprion oxygeneios","Polyprion oxygeneios","160","60","1500000",NA,"c(NA, ""coastal"")","NA","c(NA, NA, NA, NA, NA)","c(NA, NA, 10, NA, NA)","NA","dioecism","0"
"180","Pomacentrus coelestis","Pomacentrus coelestis","9","NA","NA",NA,NA,"NA","NA","NA","1","dioecism","0"
"181","Pomacentrus moluccensis","Pomacentrus moluccensis","9","NA","NA",NA,NA,"NA","NA","NA","1","dioecism","0"
"182","Pontinus kuhlii","Pontinus kuhlii","52","NA","NA",NA,NA,"NA","NA","6","NA",NA,"NA"
"183","Prionace glauca","Prionace glauca","400","20","c(NA, NA, 34, 60, 32)",NA,NA,"NA","c(182, NA, 182, NA, NA, NA, 170, 190, 210, 210, 170, 190, 185, NA, 200, NA, NA, NA, NA, NA, NA, NA)","c(NA, NA, NA, 6, NA, NA, 7, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)","NA","dioecism","0"
"184","Pristipomoides filamentosus","Pristipomoides filamentosus","100","44","NA",NA,"c(NA, NA)","NA","c(35, NA, 36.6, 40)","c(NA, NA, NA, NA)","1","dioecism","-1"
"185","Pristipomoides zonatus","Pristipomoides zonatus","57.5","NA","NA",NA,NA,"NA","NA","NA","1","dioecism","0"
"186","Pseudopleuronectes herzensteini","Pseudopleuronectes herzensteini","50","15","NA",NA,"coastal","NA","c(22, 23, 18)","c(NA, NA, NA)","1","dioecism","0"
"187","Pseudopleuronectes yokohamae","Pseudopleuronectes yokohamae","45","NA","NA",NA,NA,"NA","NA","NA","1","dioecism","0"
"188","Pterois miles","Pterois miles","35","NA","NA",NA,NA,"NA","NA","NA","NA",NA,"NA"
"189","Raja clavata","Raja clavata","105","15","c(NA, NA, NA, NA, NA)",NA,NA,"NA","c(NA, NA, NA, NA, NA, NA, NA, NA, 47.5, 47, NA, NA, NA, NA, NA, NA, 47, 57, 56, 47)","c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)","3","dioecism","0"
"190","Raja miraletus","Raja miraletus","63","NA","NA",NA,NA,"NA","c(44, 40)","c(NA, NA)","3","dioecism","0"
"191","Raja polystigma","Raja polystigma","60","NA","20",NA,NA,"NA","NA","NA","3","dioecism","0"
"192","Raja radula","Raja radula","70","NA","80","throughout the year, but peaking once",NA,"NA","NA","NA","3","dioecism","0"
"193","Rastrelliger kanagurta","Rastrelliger kanagurta","42.1","4","c(NA, 44754, NA)",NA,"c(NA, NA, ""coastal"", NA, ""coastal"")","NA","c(23, NA, NA, NA, 12, NA, NA, 19.5, 19.5, NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)","3","dioecism","-1"
"194","Reinhardtius hippoglossoides","Reinhardtius hippoglossoides","110","30","c(NA, NA, NA, 28100, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)","one clear seasonal peak per year","c(NA, NA, NA, NA)","NA","c(60, NA, NA, NA, NA, NA, 65, 55, NA, NA, NA, NA, 65)","c(9, 11, NA, NA, NA, NA, 9, 7, NA, NA, NA, NA, NA)","1","dioecism","-1"
"195","Rhincodon typus","Rhincodon typus","1700","80.4","c(NA, NA)",NA,"coastal","NA","c(NA, 440, 903, 300, 760, NA)","c(NA, NA, NA, NA, NA, NA)","1","dioecism","0"
"196","Rhizoprionodon acutus","Rhizoprionodon acutus","175","8","c(NA, NA, NA, NA)",NA,"c(NA, ""coastal"")","NA","c(70, 68, 82.5, 70, 70)","c(NA, NA, NA, NA, NA)","NA","dioecism","0"
"197","Ruanoho whero","Ruanoho whero","9","NA","NA",NA,NA,"NA","NA","NA","1","dioecism","0"
"198","Sardinella lemuru","Sardinella lemuru","23","NA","NA",NA,"c(NA, NA, NA)","NA","c(13.5, 14, 17.61)","c(NA, NA, NA)","3","dioecism","0"
"199","Sardinops sagax","Sardinops sagax","39.5","25","c(NA, NA)","Two seasonal peaks per year","c(NA, NA, ""coastal"", ""coastal"", ""coastal"", ""coastal"", ""coastal"", ""coastal"", NA, NA, NA, ""coastal"")","NA","c(7, 24, NA, NA, 22, 18, NA, 24, NA, NA, 21, NA, 18)","c(1, NA, 1, NA, NA, 1, NA, NA, NA, NA, NA, NA, NA)","3","dioecism","-1"
"200","Saurida elongata","Saurida elongata","50","7","NA",NA,NA,"NA","NA","NA","3","dioecism","0"
"201","Scarus ghobban","Scarus ghobban","75","13","NA",NA,NA,"NA","c(49, NA)","c(NA, NA)","2","protogyny","0"
"202","Scarus psittacus","Scarus psittacus","34","5","NA",NA,NA,"NA","10.5","NA","2","protogyny","0"
"203","Scomber australasicus","Scomber australasicus","44","NA","NA",NA,NA,"NA","NA","NA","NA",NA,"NA"
"204","Scomber japonicus","Scomber japonicus","64","18","c(NA, NA, NA, NA)","Variable throughout range","c(NA, NA, NA, NA, NA, NA)","NA","c(NA, NA, NA, NA, 31.5, NA, NA, 29, NA)","c(NA, 2, NA, NA, NA, NA, NA, NA, NA)","3","dioecism","-1"
"205","Scomber scombrus","Scomber scombrus","60","17","c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)","one clear seasonal peak per year","c(NA, NA, NA, NA, NA, ""coastal"", NA, NA, NA)","NA","c(34, 32, 30, NA, NA, NA, NA, NA, NA, NA, NA, 30, 30, 24, NA, NA, NA)","c(2, 2, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 2, 1, NA, NA, NA)","1","dioecism","-1"
"206","Scomberomorus brasiliensis","Scomberomorus brasiliensis","125","NA","NA","Throughout the year, but peaking once","c(NA, NA, NA, NA, NA)","NA","c(NA, NA, NA, NA, NA, NA, NA)","c(3, NA, NA, NA, NA, NA, NA)","3","dioecism","0"
"207","Scomberomorus cavalla","Scomberomorus cavalla","184","14","c(NA, NA, NA, NA, NA, NA)","Variable throughout range","c(NA, NA, ""shelf"", NA, NA, NA, NA, NA, NA, NA)","NA","c(77, 84, 73, 58.5, 54.5, 45, 60, 65, NA, NA, NA, NA, NA)","c(NA, NA, NA, 2, 2, NA, NA, NA, NA, NA, NA, NA, NA)","3","dioecism","0"
"208","Scomberomorus commerson","Scomberomorus commerson","240","NA","c(NA, NA, NA)","Variable throughout range","c(NA, NA, ""shelf"", NA, ""coastal"", NA, NA, NA, ""shelf"", ""shelf"", ""shelf"", NA, ""coastal"", NA, NA, NA, NA, ""coastal"", NA, NA)","NA","c(70, 65, 80, 55, 70.1, 72, NA, NA, 89.8, 70.6, NA, NA, NA)","c(NA, 2, 2, NA, 2, NA, NA, NA, 2, 1, NA, NA, NA)","3","dioecism","0"
"209","Scomberomorus concolor","Scomberomorus concolor","77","NA","NA",NA,NA,"NA","NA","NA","3","dioecism","0"
"210","Scomberomorus niphonius","Scomberomorus niphonius","113.2","NA","550000",NA,NA,"NA","NA","NA","3","dioecism","0"
"211","Scomberomorus semifasciatus","Scomberomorus semifasciatus","120","NA","NA",NA,"coastal","NA","c(75, 64)","c(1, 1)","3","dioecism","0"
"212","Scomberomorus sierra","Scomberomorus sierra","99","NA","NA",NA,"c(NA, NA, NA)","NA","26","NA","3","dioecism","0"
"213","Scombrops boops","Scombrops boops","150","NA","NA",NA,NA,"NA","NA","NA","NA",NA,"NA"
"214","Scombrops gilberti","Scombrops gilberti","120","NA","NA",NA,NA,"NA","NA","NA","NA",NA,"NA"
"215","Scyliorhinus canicula","Scyliorhinus canicula","100","12","c(NA, NA, NA, NA, NA, NA)",NA,"c(""coastal"", ""coastal"")","NA","c(44, 39, 54, 54, 54, 54, NA, NA, 52, 49, 41, 43, NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, 3, NA, NA, NA, NA, NA, NA)","3","dioecism","0"
"216","Scyliorhinus stellaris","Scyliorhinus stellaris","170","19","c(NA, NA, NA)",NA,"c(NA, NA)","NA","77","NA","3","dioecism","0"
"217","Sebastes emphaeus","Sebastes emphaeus","18","NA","c(NA, NA)",NA,NA,"NA","NA","NA","NA","dioecism","0"
"218","Sebastes flavidus","Sebastes flavidus","66","64","c(NA, NA)","one clear seasonal peak per year",NA,"NA","c(27, NA, 30, NA, 41, NA)","c(4, NA, 4, NA, 11, NA)","NA","dioecism","0"
"219","Sebastes helvomaculatus","Sebastes helvomaculatus","41","87","NA",NA,NA,"NA","c(20, 22, NA)","c(5, 7, NA)","NA","dioecism","0"
"220","Sebastes miniatus","Sebastes miniatus","91","60","c(NA, NA)",NA,NA,"NA","c(37, 35, NA)","c(4, 5, NA)","NA","dioecism","0"
"221","Sebastes oculatus","Sebastes oculatus","40.8","NA","NA",NA,NA,"NA","NA","NA","NA","dioecism","0"
"222","Sebastes schlegelii","Sebastes schlegelii","65","20","44000",NA,"coastal","NA","c(26, 33.8)","c(NA, NA)","NA","dioecism","0"
"223","Sebastiscus marmoratus","Sebastiscus marmoratus","36.2","NA","NA","one clear seasonal peak per year","c(NA, NA)","NA","8","NA","NA","dioecism","-1"
"224","Selar crumenophthalmus","Selar crumenophthalmus","70","NA","NA",NA,"c(NA, NA, ""coastal"")","NA","c(NA, NA)","c(NA, NA)","4","dioecism","0"
"225","Seriola dumerili","Seriola dumerili","190","15","NA","one clear seasonal peak per year","c(NA, NA, NA)","NA","c(80, 61, 75, NA)","c(3, 2, 3, NA)","4","dioecism","-1"
"226","Seriola lalandi","Seriola lalandi","250","12","NA",NA,"c(NA, ""shelf"")","NA","50.6","2","4","dioecism","-1"
"227","Seriola rivoliana","Seriola rivoliana","160","NA","NA",NA,NA,"NA","NA","NA","4","dioecism","0"
"228","Seriolella brama","Seriolella brama","76","15","285000",NA,"c(NA, NA, NA)","NA","c(NA, 30)","c(3, NA)","NA","dioecism","-1"
"229","Seriolella punctata","Seriolella punctata","66","15","NA",NA,"c(NA, NA)","NA","NA","3","NA","dioecism","0"
"230","Siganus fuscescens","Siganus fuscescens","40","NA","c(NA, NA)",NA,"c(NA, ""coastal"")","NA","c(NA, NA)","c(NA, NA)","2","dioecism","-1"
"231","Siganus guttatus","Siganus guttatus","42","NA","NA",NA,NA,"NA","c(12, NA)","c(NA, NA)","2","dioecism","0"
"232","Siganus spinus","Siganus spinus","28","NA","NA",NA,NA,"NA","NA","NA","2","dioecism","0"
"233","Sillago japonica","Sillago japonica","30","NA","NA",NA,NA,"NA","NA","NA","3","dioecism","0"
"234","Solea solea","Solea solea","70","26.4","c(NA, NA, NA, NA, NA, NA, NA, NA)","one clear seasonal peak per year","c(NA, ""coastal"", NA, NA, NA, NA, NA, ""coastal"", ""coastal"")","NA","c(NA, NA, NA, NA, 23, NA, NA, NA, 23, 26.5, NA, 30, NA, NA, 24, NA, NA, NA, NA, NA, 25, NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA, 3, 3, NA, 3, NA, NA, 2, NA, NA, NA, NA, NA, NA, NA, NA)","1","dioecism","-1"
"235","Somniosus rostratus","Somniosus rostratus","143","NA","NA",NA,"c(NA, NA)","NA","c(82, 71)","c(NA, NA)","NA","dioecism","0"
"236","Sparus aurata","Sparus aurata","70","11","NA",NA,"c(""coastal"", NA, NA)","NA","c(33, 20, 27)","c(2, 1, NA)","3","protandry","0"
"237","Sphaeramia orbicularis","Sphaeramia orbicularis","10","NA","NA",NA,NA,"NA","c(6, 7)","c(NA, NA)","NA","dioecism","0"
"238","Sphyraena barracuda","Sphyraena barracuda","200","NA","NA",NA,NA,"NA","c(NA, 58, NA)","c(2, 4, NA)","3","dioecism","-1"
"239","Sphyraena viridensis","Sphyraena viridensis","128","NA","NA",NA,NA,"NA","NA","NA","NA",NA,"NA"
"240","Sphyrna lewini","Sphyrna lewini","430","35","c(NA, NA, NA, 40)",NA,"c(NA, NA)","NA","c(250, 180, 140, NA, NA, 185, 200, 140, NA, 220, 165, 240, NA, NA, NA, 140, 200, 128)","c(15, 10, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 3, NA, NA)","NA","dioecism","0"
"241","Sprattus sprattus","Sprattus sprattus","16","6","c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)","Variable throughout range","c(""coastal"", NA, NA, NA, ""coastal"", ""coastal"")","NA","c(NA, 11, 8, 10, NA, NA, NA, 8.8, NA, NA, NA, NA, NA, NA, NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 2, NA, 1, NA, NA, NA)","3","dioecism","-1"
"242","Squalus blainville","Squalus blainville","100","NA","3","throughout the year, but peaking once",NA,"NA","c(60, 50, 57, 45, NA, NA)","c(NA, NA, NA, NA, NA, NA)","1","dioecism","0"
"243","Squatina aculeata","Squatina aculeata","188","NA","NA",NA,NA,"NA","124","NA","NA","dioecism","0"
"244","Squatina oculata","Squatina oculata","160","NA","NA",NA,"shelf","NA","NA","NA","NA","dioecism","0"
"245","Stenobrachius leucopsarus","Stenobrachius leucopsarus","13","8","NA",NA,"c(NA, NA)","NA","NA","4","NA","dioecism","0"
"246","Stenobrachius nannochir","Stenobrachius nannochir","11","NA","NA",NA,NA,"NA","NA","NA","NA",NA,"NA"
"247","Stichaeus grigorjewi","Stichaeus grigorjewi","60","NA","37120",NA,"coastal","NA","NA","NA","NA",NA,"NA"
"248","Syngnathus leptorhynchus","Syngnathus leptorhynchus","32.5","NA","NA",NA,"c(NA, NA)","NA","NA","NA","1","dioecism","-1"
"249","Takifugu rubripes","Takifugu rubripes","80","NA","NA",NA,"coastal","NA","NA","NA","3","dioecism","0"
"250","Thalassoma bifasciatum","Thalassoma bifasciatum","25","3","NA",NA,NA,"NA","NA","NA","NA","protogyny","0"
"251","Thamnaconus hypargyreus","Thamnaconus hypargyreus","17.8","NA","NA",NA,NA,"NA","NA","NA","NA",NA,"NA"
"252","Thunnus albacares","Thunnus albacares","239","9","c(NA, NA, NA, NA, NA)","Throughout the year, but peaking once","c(NA, ""coastal"", ""coastal"", ""coastal"", ""coastal"", NA, NA, NA, NA, NA, ""coastal"", NA, NA)","NA","c(50, 101, 120, 120, NA, NA, 78)","c(1, 2, 3.5, 5, NA, NA, NA)","3","dioecism","-1"
"253","Thunnus obesus","Thunnus obesus","250","11","c(NA, NA)","Variable throughout range","c(NA, NA, NA, NA)","NA","c(130, 100, NA, 100, 67, 91)","c(NA, NA, NA, 3, NA, 3)","3","dioecism","-1"
"254","Torpedo marmorata","Torpedo marmorata","100","NA","5",NA,NA,"NA","c(39, 24)","c(NA, NA)","NA","dioecism","0"
"255","Totoaba macdonaldi","Totoaba macdonaldi","200","24","NA",NA,NA,"NA","c(NA, NA)","c(NA, NA)","NA",NA,"NA"
"256","Trachurus mediterraneus","Trachurus mediterraneus","60","NA","NA",NA,NA,"NA","c(NA, NA)","c(NA, NA)","4","dioecism","0"
"257","Trachurus murphyi","Trachurus murphyi","70","16","NA",NA,NA,"NA","c(36, 39, 31)","c(NA, NA, NA)","4","dioecism","0"
"258","Trachurus picturatus","Trachurus picturatus","60","NA","NA",NA,"c(NA, ""coastal"")","NA","c(24.5, NA, NA, 24.1, 26.2)","c(NA, NA, NA, NA, NA)","4","dioecism","0"
"259","Trachurus trachurus","Trachurus trachurus","70","NA","c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)","one clear seasonal peak per year","c(NA, ""shelf"", NA, NA)","NA","c(NA, NA, NA, 21, NA, NA, 23, 22, NA, NA, NA, NA, 33, 18, 26, 20, NA, 25, 24, NA, NA, NA)","c(NA, NA, NA, 2.5, NA, NA, 4, 3, NA, NA, NA, NA, 4, NA, NA, NA, NA, 3, 3.5, NA, NA, NA)","4","dioecism","-1"
"260","Triaenodon obesus","Triaenodon obesus","213","25","1",NA,"c(NA, NA)","NA","c(105, 104, 100, NA, 125, 100, 105)","c(NA, NA, 5, 8, NA, NA, NA)","NA","dioecism","0"
"261","Trygonorrhina dumerilii","Trygonorrhina dumerilii","146","NA","NA",NA,NA,"NA","NA","NA","NA",NA,"NA"
"262","Trygonorrhina fasciata","Trygonorrhina fasciata","126","NA","NA",NA,NA,"NA","c(NA, 65)","c(NA, NA)","NA","dioecism","0"
"263","Tylosurus acus imperialis","Tylosurus acus imperialis","140","NA","NA",NA,NA,"NA","NA","NA","3","dioecism","0"
"264","Uropterygius micropterus","Uropterygius micropterus","30","NA","NA",NA,NA,"NA","NA","NA","NA",NA,"NA"
"265","Verasper variegatus","Verasper variegatus","60","NA","NA",NA,"coastal","NA","NA","NA","1","dioecism","0"
"266","Xiphias gladius","Xiphias gladius","455","NA","c(NA, NA)","Variable throughout range","c(NA, ""oceanic"", NA, NA, NA, ""oceanic"", NA, NA, NA, NA, NA, NA, ""oceanic"")","NA","c(150, NA, NA, 156)","c(5, NA, NA, NA)","3","dioecism","-1"
"267","Xyrichtys novacula","Xyrichtys novacula","38","8","NA","one clear seasonal peak per year",NA,"NA","NA","NA","NA","protogyny","0"
"268","Zearaja chilensis","Zearaja chilensis","210","NA","NA",NA,NA,"NA","c(97, 98, 79, 76)","c(10, 11, 7, 7)","3","dioecism","0"
"269","Zebrasoma flavescens","Zebrasoma flavescens","20","NA","1176224","throughout the year, but peaking once","coastal","NA","NA","NA","3","dioecism","-1"
